Set Name,Card #,Player Name,Team,Position
2006-07 Upper Deck Series 1 UD Game Jersey,J-AA,Arron Asham,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AF,Alexander Frolov,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AH,Ales Hemsky,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AK,Alexei Kovalev,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AL,Jason Allison,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AM,Andrej Meszaros,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AO,Alexander Ovechkin,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AT,Alex Tanguay,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-AY,Alexei Yashin,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BA,Barret Jackman,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BB,Brad Boyes,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BE,Patrice Bergeron,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BG,Bill Guerin,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BI,Martin Biron,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BL,Rob Blake,N/A,N/A
2006-07 Upper Deck Series 1 UD Game Jersey,J-BM,Mark Bell,N/A,N/A
